query,query_intent,predicted_intent,historical_customer_message,historical_response,similarity,evidence_quality_score,problem_match_score,problem_match_reason,entity_overlap,entity_mismatch,issue_mismatch,evidence_relevance_score,final_score,accepted,relevance_reason
all the pictures on my phone magically deleted. what the fuck @115858,apple_id_icloud,apple_id_icloud,my icloud messed up and now i can’t access any of the pictures on my phone thanks @115858,"@710059 We'd like to look into this with you and get your photos back where they belong. If you go to https://t.co/MdGttkkFL9 from a desktop browser, are you photos showing here?",0.31361092869593565,0.68,0.5,intent alignment without specific issue keywords,[],False,False,0.5464,0.42484494418095636,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
"Bought the new @34587 album on @118721 , songs were out of order. Deleted and re-downloaded now 2 songs are missing. #help @115858",apple_music_itunes,apple_music_itunes,"Hmm, trying to purchase this new @118062 album on iTunes &amp; it isn't working? What's up with that, @118721? @AppleSupport @115948 https://t.co/niReRBtPlt","@810155 We want to make sure you're able to purchase the content you want through iTunes. Could you confirm what type of computer you're using iTunes with? Also, let us know if you've tried restarting your computer since experiencing this issue. DM us with the answers. https://t.co/GDrqU22YpT",0.15382585442725577,0.93,0.5,intent alignment without specific issue keywords,[],False,False,0.5465,0.40099571145474033,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
For instance @115858 when are you gunna fix my fuckin I button I️ refuse to change it in my shortcuts it shouldn’t come down to this,screen_display,screen_display,@115858 you Gunna fix this ?..... I️ can’t text anyone on snap since I️ can’t use the letter “eye”,@502840 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,0.2160347792338318,0.93,0.5,intent alignment without specific issue keywords,[],False,False,0.547,0.4202566424455526,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
"Dear Apple, pls fix this problem. What’s the point of having a shortcut when it doesn’t even work? @115858 #OffWifi #Offbluetooth https://t.co/o7Yj8G8DDh",wifi_connectivity,wifi_connectivity,Dear @AppleSupport pls fix iPhones so it doesn’t autocorrect 'i' to an incomprehensible symbol! “MaGiCaL” doesn’t... https://t.co/wNQzsAbhsV,@528869 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,0.21832620595422453,0.93,0.5,intent alignment without specific issue keywords,[],False,False,0.5476,0.42122781902199274,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
"My phone isn't downloading apps its always says ""waiting"" ben that way for days anyone know what I can do? @AppleSupport",app_problems,app_problems,Anyone else having trouble downloading apps on iPhone 7 @AppleSupport,"@810957 We want to make sure you're able to downloads apps for your iPhone. What happens when you try to install an app? Are you getting an error message? Along with that, which version of iOS is currently installed? Let us know the answers via DM. https://t.co/GDrqU22YpT",0.19125376371320832,1.0,0.5,intent alignment without specific issue keywords,[],False,False,0.5478,0.42003365169624174,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
@AppleSupport It pops up every time I look at my phone after I come out of the subway. Global setting? I just installed iOS and haven’t looked at new features yet but I wish default wasn’t to bother me repeatedly,ios_software_update,ios_software_update,@115858 the fuck this shit? Look at my status bar. https://t.co/A5az68mXqK,@160208 That's unexpected. Let's see what we can find out! Does the issue persist after a restart? Which iOS version are you running?,0.1310177374174905,1.0,0.5,intent alignment without specific issue keywords,[],False,False,0.5478,0.40160142764975204,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
@AppleSupport It pops up every time I look at my phone after I come out of the subway. Global setting? I just installed iOS and haven’t looked at new features yet but I wish default wasn’t to bother me repeatedly,ios_software_update,ios_software_update,@AppleSupport what’s going on with iOS 11.1 every time the letter “eye” is typed it pops up a weird emoji,@482983 We are here to help. Let's try the steps listed in this article. https://t.co/xU1AGHStV6,0.1323047052332796,1.0,0.5,intent alignment without specific issue keywords,[],False,False,0.5481,0.4021302398013836,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
@AppleSupport I have not touched my phone to summon Siri nor anybody spoke hey Siri around.,other_unclear,other_unclear,@AppleSupport why does my iPhone X reset “Hey Siri” / “listen for hey Siri” each time the phone is updated? So annoying! 🙄,@765183 Thanks for reaching out. DM the specific iOS version you are using currently so we can help out. https://t.co/GDrqU22YpT,0.23556617410050473,0.75,0.5,intent alignment without specific issue keywords,[],False,False,0.5489,0.4090882492747545,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
"Bought the new @34587 album on @118721 , songs were out of order. Deleted and re-downloaded now 2 songs are missing. #help @115858",apple_music_itunes,apple_music_itunes,"@AppleSupport so, bought an album on iTunes and it’s added twice?! https://t.co/JyNasmYmyr","@233536 We can help with your duplicated album. Let's try restarting your iPhone first using these steps: https://t.co/kS3F7wfZK3
Let us know if this updates your library.",0.136470676787883,1.0,0.5,intent alignment without specific issue keywords,[],False,False,0.5491,0.4038550270970922,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
@AppleSupport why do you keep taking my money!!!! Apple hold keeps taking $1 every other week from me!!!!!!,other_unclear,other_unclear,@115858 my phone keep restarting every other hour smh fix this update,@269533 Let's take a look at this restart issue. What iOS version are you currently on? When did this initially start? Let us know in DM. https://t.co/GDrqU22YpT,0.13854953477998738,1.0,0.5,intent alignment without specific issue keywords,[],False,False,0.5496,0.4047161576426761,False,intent agreement + problem: intent alignment without specific issue keywords + rejected: below threshold
This iPhone bug whenever I️ type the letter i (as in abcdefgh-i-jk...) is driving me nuts! @115858 please fix this!,ios_software_update,ios_software_update,What is this on my #iPhone.  It is driving me nuts  @AppleSupport https://t.co/ehL3rUKH9D,@517313 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,0.3789020200092168,0.93,0.35,entity overlap (iphone) with intent divergence,['iphone'],False,False,0.5502,0.44903401812282034,True,intent mismatch + entity overlap (iphone) + problem: entity overlap (iphone) with intent divergence + ACCEPTED: grounded evidence
